text,true_label,predicted_label
tb,neutral,neutral
low cortisol chil,neutral,neutral
sắp tết rồi xa quê sáng sớm dậy nghe bài thấy nhớ nhà cố gắng tết 2027 nhà ba mẹ,neutral,neutral
năm nay có một cuộc trở về nhà khácnhưng là bóng đáronaldo và lukaku đã trở về mái nhà xưalà manchester united và chelsea,neutral,neutral
mê bài nay,praise,neutral
sắp tết 202 rồi xem chúc ae tết 202 vui vẻ nhìu sức khỏe nha,praise,neutral
2026 nghe không,neutral,neutral
nhà lới ấm áp nhất để,neutral,neutral
xem xem,neutral,neutral
từ thầy giáo ba 3,neutral,neutral
lẽ hơn yêu,praise,neutral
đấy anh 1 like,neutral,neutral
nghiện luôn rồi,neutral,neutral
anh den oi,neutral,neutral
cảm xúc em chưa lần đặt tên,neutral,neutral
nghe bài nhớ tết năm rồi,neutral,neutral
xa lần nghỉ nhà cảm giác lạ ngày tết chỉ mong thật nhanh thật nhanh thôi,praise,neutral
bài việt nam 6 năm trước rồi,neutral,neutral
anh rap hi,neutral,neutral
quê vĩnh phúc nèe,neutral,neutral
actuali edit put low cholesterol song hahaha,neutral,neutral
bài hát chưa mv của 1 ca sỹ nào nào đưa thông tin 2 bạn trai yêu nhau 1 sự đặc biệt không hề nhẹ,praise,neutral
khóc,neutral,neutral
năm như thế phải nhà gia đình,neutral,neutral
sắp sang năm mới rồi nghe không nhỉ,neutral,neutral
nghe suy nghĩ cuộc tình chúng mình thu thủy hưng yên anh muốn mãi mãi trở thành 01 cuộc tình huyền thoại dĩ vắng tuy nhiên ngay anh không thể kìm ném nữa bé bé nhớ không đầu tháng 8 năm 209 anh vô tình nhận cuộc gọi nhỡ số điện thoại lạ chính số lạ để anh phải ngoài cửa lớp học 01 tiết lịch sử sau tan học gọi luôn định chửi nghe giọng nhẹ giọng bên nhẹ nhàng dễ thương tất mọi thứ như tan biến chỉ câu quen tâm sựdần dần yêu không biết anh nhớ mình hứa nhau học đại học trường sau trường nhau không phải hà giang không phải hưng yên lẽ sức khỏe bé không tốt chúng mình chọn miền nam 23 cuộc đời mình hứa nhau nhận nuôi bé bệnh chưa chắc mang thai bé sợ lạnhanh nhớ đầu tháng 2 năm 2010 bé định sang nước ngoài anh khóc muốn bay thẳng cột cờ lũng cú sân bay nội bài để bắt xe hưng yên may bé không đithời nhỉ người tình chưa biết mặt cách nhau gần 60 cây yêuchính bé động lực để chàng trai núi rừng quyết tâm thi đh hà nội để gần bé gặp bé lần đầu tiên cuối tháng 6 năm 2010 người rừng bỏ núi rừng để thủ đô dự thi đúng ngày lẽ kỷ niệm 10 năm thăng long hà nội người rừng thủ đô để thực hiện ước mơ học chuyên nghiệp để thực hiện ước mơ gặp đócũng tháng 12 năm 2010 người rừng thực hiện ước mơ gặp công chúa tại ngã ba bần hưng yên rồi đạp xe đạp mình yêu bao lâu rồi nhỉ không nhớ nữa,praise,neutral
tv bùn bút định sin cgv việt nam fb n,neutral,neutral
hm người vô gia cư,neutral,neutral
2 tháng nữa quê đón tết ba mẹ rồi,neutral,neutral
chị không rap luôn chất,neutral,neutral
sợ thật cứ lần lượt view tăng chóng mặt,criticism,neutral
tạm biết 2020 1 năm mất thứ xin chào 2021 mong 1 năm luôn vui vẻ,neutral,neutral
song ca a đen vâu jui,neutral,neutral
323 giọng cao,neutral,neutral
10h57 572021 yêu chú 3,praise,neutral
tui không định khóc tại anh phúc đóo huhu,neutral,neutral
mình hỏi khúc cuối bài,neutral,neutral
coi súc động vừa vui kh,praise,neutral
không zing mp3 chán,neutral,neutral
khóc xem mv bài hát thật sự ý nghĩa,neutral,neutral
khắc hưng phối nhạc nghe bản ba láp kh phối êm tay nghe,neutral,neutral
អរគុណអ្នកស្រីវៀតណាម កម្រិត cortisol របស់ខ្ញុំបានចុះថយហើយ។,neutral,neutral
lần gần tết nghe bài,neutral,neutral
ngày mình mới đời xa nhà xa ba mẹ cứ nghe bài hoài sợ dịch không nhà muốn khóc,criticism,neutral
tết hết đường nhà rồi dịch,neutral,neutral
bài gái ei ngày repeat chục lần mới chịu,neutral,neutral
tik tok đưa mk nghiện bài,praise,neutral
có từ top coments đến như t không,neutral,neutral
nghe nhạc 2 sếp mua vé luôn,neutral,neutral
nghe hoài không chán lần nghe lòng cứ bồi hồi mắt cứ dưng dưng cảm xúc lẫn lộn,neutral,neutral
nhà nơi dù xa bao nhiêu dù bôn ba cỡ chúng muốn quay về3,neutral,neutral
mv ý nghĩa như thế mấy cmt from không liên quan tới mv cmt thế chi gạch đá xinh nhận ạ,neutral,neutral
know love song love much,praise,neutral
team from việt nam to hơn yêu,praise,neutral
sự kết hợp hoàn hảo,neutral,neutral
lmao even chang video titl low cortisol song,neutral,neutral
càng nghe càng,neutral,neutral
nghe thấy,neutral,neutral
82 kon tum hk,neutral,neutral
anh đức phúc ơi thiếu em nữa em cô đơn 10 năm rồi,criticism,neutral
nhớ nhà,neutral,neutral
bài hát nghe suốt mấy năm nay,neutral,neutral
nè,neutral,neutral
anh đức phúc hát quá thấy thì tim,neutral,neutral
nghe mik khóc luôn,neutral,neutral
bây giờ mới thấy đứcphúc lạ,neutral,neutral
ý nghĩa,neutral,neutral
t 1 đồng xu bất cứ 1 bài hát việt nam ghép video gái anime lắc không t 3 đồng xu mặc dù không kì lạ xảy 3 lần,neutral,neutral
mv xúc độngsâu lắngnhạc ý nghĩa,neutral,neutral
tết,neutral,neutral
muốn nhma hoàn cảnh không phép,neutral,neutral
mv ý nghĩa lấy ý tưởng cặp đôi hạnh phúc ước mình hạnh phúc như cặp đôi mv,neutral,neutral
kỳ tài thách đấu xem mới nhận vợ chồng cô minh lý nữa người quen cách 4 năm cảm động 3,neutral,neutral
hơn yêu hơn,praise,neutral
cao hơn núi dài hơn sông rộng hơn đất xanh hơn trời đoạn truyệt hihi ý kiến mng,neutral,neutral
sắp 70m rồi,neutral,neutral
ý nghĩa,neutral,neutral
cortisol level catastrhophicali low,neutral,neutral
bài hát thật sự đáng iu ạ,neutral,neutral
mv bài hát ý nghĩa truyền tải thông điệp tích cực chúc mừng đp,neutral,neutral
bài hát ạ,neutral,neutral
anh tài ơi,neutral,neutral
chúc mv sinh nhật 1 tuổi nha 181220213,neutral,neutral
cảm giác bồi hồi nhớ nhung lồng ngựcchỉ muốn nhà thật sớm để đoàn tụ gia đình,neutral,neutral
phúc ơi xem xong chỉ pk nói phúc tuyệt dựng mv,praise,neutral
low cortisol,neutral,neutral
318 ôi đam mỹ kìa tui chớt mết,neutral,neutral
chú đen ơi chú để râu mọc tự nhiên ạ phải dùng thuốc bôi không ạ,neutral,neutral
mọi người kênh mình ủng hộ mình ạ nhà mình nghèo,neutral,neutral
bài hát đám cưới hợp,neutral,neutral
mv thật ấm áp nghe hoài không chán luôn,neutral,neutral
mình cày view mv phúc thực sự tuyệt vời,praise,neutral
bài hát thật ấm áp ý nghĩanghe thấy nhớ nhà nhớ quê hương cảm giác tết sắp hồi hộp náo nức nhà cảnh mong sớm nhà mình,neutral,neutral
hình như hai anh hun nhau anh sang anh mixh tiktok đúng không mọi người,neutral,neutral
sau the masked singer mình mới biết đức phúc mê luôn sự chân thành đáng yêu như bài hát,praise,neutral
chúc mừng đức phúc,neutral,neutral
bài anh thía quán ăn cứ tầm 9h30 toàn mở để đuổi khách huhu,neutral,neutral
nhớ tết,neutral,neutral
không hiểu nghe bài,neutral,neutral
vãi chưởng,neutral,neutral
danc remov al stre lower cortisol,neutral,neutral
cãi nhau người yêu xem càng xúc động tình yêu cao bao dung lâu bền luôn tồn tại,praise,neutral
bài hát trường mik đề thi học kì 1 lớp 12,neutral,neutral
chào đón 2021chúc mọi người 12 tháng phú quý 365 ngày phát tài 8760 giờ sung túc 52560 phút thành công 315360 giây vạn sự như ý hapy new year,neutral,neutral
song make cri lot meaning,neutral,neutral
bài dth xĩu,neutral,neutral
sáng mở nhạc để đánh thức 2 thằng trai mình 1 đứa 5 tuổi 1 đứa 2 tuổi ông nhóc 2 tuổi cực kì thích bài hát,praise,neutral
cần lời bài hát 0126 0136 lời,neutral,neutral
tình yêu anh luôn thầm lặng không nghĩa không rộng lớn,praise,neutral
lời bài hát chúc mừng 2 anh em,neutral,neutral
2024 rồi nghe,neutral,neutral
nghe ấm lòng ạ,neutral,neutral
không tốt hơn nhà nơi mình cảm giác an toàn nhất,neutral,neutral
kỳ tài thách đấu wa không,neutral,neutral
nhớ em thôi,neutral,neutral
nhà luôn nhà,neutral,neutral
kính dior erik mn,neutral,neutral
nghe nghe lần không chán,neutral,neutral
bài hát,neutral,neutral
replay không biết bao nhiêu lần 2 sự kết hợp thật tuyệt lời giai điệu dễ nghe lời nhạc giản dị chân thật giọng truyền cảm xúc tuyệt,praise,neutral
lái xe an toàn nhà thôi,neutral,neutral
hết dịch hãy nhà,neutral,neutral
quê bắc ninh,neutral,neutral
nhờ mv mk mua winerx sử dụng thực sự hài lòng bài hát tuyệt vời a đen,praise,neutral
27122021 rồi mọi người ơi sắp được về nhà rồi,neutral,neutral
năm nay xa nhà thật rồi ạ,neutral,neutral
low cortisol,neutral,neutral
2019 yêu không 2020 hơn yêu 2021 chết yêu 202 yêu em muôn đời 2023 vạn kiếp yêu em 2024 yêu em xuyên không gian nguồn cmt mv vài tự nghĩ,praise,neutral
mấy tháng nữa quân nghe bài cảm thấy sự hạnh phúc gia đình sau 2 năm chờ đợi chuyến du lịch tour 2 năm sắp kết thúc rồi ráng thôi 6 tháng nữa,neutral,neutral
bài mình mới biết tối cổ vãi,neutral,neutral
la la không đưa e v e tự,neutral,neutral
nhạc khúc cuối bài z mọi ng,neutral,neutral
anh em dịch rồi nhà mọi người ơi,neutral,neutral
317 nhợn vl,neutral,neutral
hơn yêu xuyên tea trần minh tâm bên nhau 7 năm 20132020,praise,neutral
10tr rồi,neutral,neutral
nhà dễ như nói chắc tui 10 lần rồi,neutral,neutral
đồng nai,neutral,neutral
chị ơi,neutral,neutral
thấy ấm áp ngày cày chừng 20 lần haha,neutral,neutral
đen vâu nhin như người nhật ý chuc em luôn sức khỏe va luôn bai ý nghĩa nha,neutral,neutral
vừa nghe clip quỳnh anh đám cưới duy mạnh luôn,neutral,neutral
luôn ạ,neutral,neutral
bài triệu like thui,neutral,neutral
vlt mở bài hát,neutral,neutral
anh đừng buồn mọi người luôn bên anh,criticism,neutral
anh nhớ tìm gái nhé lời mẹ nóinhanh tìm gái nhờ khâu,neutral,neutral
2024 bác đen ơi,neutral,neutral
ae like mạnh,neutral,neutral
29 tết tớ quay nhé,neutral,neutral
không biết nói hơn haynghe ấm lòng hẳn chỉ muốn nhảy mặt hình,neutral,neutral
đường nhà tim 3,neutral,neutral
bài 15n người dislike thế nhờ,neutral,neutral
creat peak song al time,neutral,neutral
covid song,neutral,neutral
bài hát tuyệt vời,praise,neutral
ngày loay hoay ctchtđom đóm tủi nhà 3,neutral,neutral
ý nghiaz,neutral,neutral
ý nghĩa,neutral,neutral
sắp tết are nghe không ạ,neutral,neutral
mv ý nghĩa cảm động luôn huhu xem khóc tutu,neutral,neutral
sự kết hợp hoàn hảo,neutral,neutral
buồn không anh độ mixi,criticism,neutral
ạ mong video mang giai điệu truyền thống lời rap ý nghĩ ạ sưởi ấm trái tim mình luôn ý ạ,neutral,neutral
nghe dần bây giờ chuẩn quê ăn tết giờ chắc kịp ha,neutral,neutral
đức phúc sáng tác,neutral,neutral
nguyễn đức phúc,neutral,neutral
vinh 2k2 tiền giang,neutral,neutral
chỉ 6 tháng nữa thôi được nhà rồi,neutral,neutral
hơn yêu ghét,neutral,neutral
nghe bài nhớ nhớ tết 2021 nợ 70tr sg không chỗ ba kiu nhà ba trả nợ are cuộc đời nghe bài cảm giác bồi hồi kí ức ùa,neutral,neutral
song 6 year ago cristol low,neutral,neutral
chuẩn,neutral,neutral
bài hát ý nghĩa nhạc để nghe không phải nhạc để chạy viu,neutral,neutral
ấm áp lần nghe thấy vui vẻ nhẹ nhõm,praise,neutral
cán mốc 10m sau 280 ngày,neutral,neutral
9121 nhớ nhà mở nghe sắp tết rồi nhớ lạnh,neutral,neutral
honda winer x,neutral,neutral
low cortisol,neutral,neutral
chuyện tình nam mỹ ak,neutral,neutral
v mười mấy nghìn đứa dislike,neutral,neutral
tâm trạng phức tạp hổn độn tâm tư suy nghĩ càng ngày càng tiêu cực khóc thật lớn nước mắt chảy tuôn tuôn như mág xối không ngăn nổi buồn buồn chênh vênh chóng vánh muốn ngay liền nhà đường nhà ôi xa,praise,neutral
anh yêu em như không anh,praise,neutral
chú đen rừng biển rồi bây giờ nhà thôi,neutral,neutral
biết khúc cuối nhạc chuông bài không ạ,neutral,neutral
xanh hơn trời,neutral,neutral
em hỏi anh,neutral,neutral
hơn yêu,praise,neutral
đức phúc nhà nta không bh mình thất vọng,neutral,neutral
bài tết chắc chắn nơi đều bật v,neutral,neutral
thank much,neutral,neutral
dont understand lyric song favourit track list,neutral,neutral
im loke english subtitl song genuin poetri comun understod t eliot,neutral,neutral
mv chắc quay hơn 1 năm trước hồ hoài anh lưu hương giang ly dị lâu rồi,neutral,neutral
nghiện bài cmn rồi,praise,neutral
dù fan huơng giang phải công nhận bài nay v lìn,neutral,neutral
nhạc ca sĩ tuyệt mv ý nghĩa vừa xem vừa nghe khóc,praise,neutral
117 venom xuất hiện,neutral,neutral
play 125x speed umaz experi,neutral,neutral
thiệt tải máy để nghe mọi mọi nơi rồi mạng tranh thủ onl để tăng view bài hát thật ý nghĩa bình yên 3,neutral,neutral
1 triệu sub rồi nhà ơi chúc mừng a phúc 3,neutral,neutral
dạo hot trời luôn,neutral,neutral
mở tốc độ 125 cảm nhận v,neutral,neutral
1 năm trôi thiệt nhanh,praise,neutral
bài hát dễ thương mv xinh mong hiệu ứng tốt,praise,neutral
anh hát quáluôn ủng hộ anh,neutral,neutral
đoạn đầu xĩu,neutral,neutral
zing mp3 anh,neutral,neutral
sắp tết are bật bài đón tết hết ý,neutral,neutral
song reduc high cortisol,neutral,neutral
slow 120x,neutral,neutral
sáng giờ nghe hơn 4 tiếng đồng hồ 3,neutral,neutral
180iq titl chang,neutral,neutral
tự nhiên biết bài coi mấy clip lắc lắc mấy ông nước ngoài,neutral,neutral
chúc mừng ạ,neutral,neutral
tin chúng dù sớm muộn dù trải hạnh phúc chia ly cuối đều tìm hạnh phúc riêng mình,neutral,neutral
reali chang titl song,neutral,neutral
chuẩn tết rồi,neutral,neutral
2024 xem,neutral,neutral
cortisol drop faster sr71,neutral,neutral
96 tr cố chú 333,neutral,neutral
đoạn điệp khúc nghe giống i ned a girl taeyang vãi nồi hm,neutral,neutral
lgbt toàn cặp đôi hot không hà,neutral,neutral
sắp hết năm nữa rồi mong mọi tốt đẹp năm 202,praise,neutral
sắp 90n lượt đăng ký rồi bác phúc ơi,neutral,neutral
tuyệt vời,praise,neutral
cảm xúc,neutral,neutral
nhạc cực,neutral,neutral
áo len đức phúc mặc hình ban nhạc quen huyền thoại,neutral,neutral
like watch mona lisa get paint,praise,neutral
nghe bài hát như chữa lành,neutral,neutral
ước côvid hết để quê,neutral,neutral
uiđúng lầy gia đinh em thành thấy em thành quen quen gogle check tên thật erik mới biết,neutral,neutral
bài hát,neutral,neutral
sắp chào đón tết 202 rồi,neutral,neutral
đừng đảo mèo rồi đăng ảnh mình bonus mèo nha anh,neutral,neutral
bài tao đéo cần đen top on the mic,neutral,neutral
chúc mừng kênh phúc nha nút vàng rồi,neutral,neutral
find love girl start learn vietnames speak vietnames sing song preti sure one song preti much describ fele toward great new year 2024,praise,neutral
nghe nhạc việt cơ bản nhạc việt đa số bài tình yêu buồnriêng bài không buồn đủ hayđủ í nghĩa cảm ơn,praise,neutral
đức phúc,neutral,neutral
nghe nhạc nghĩ tới tk nyc tồi,criticism,neutral
bài hát em cảm ơn anh em nghe bài ngày ạ,neutral,neutral
tuyệt vời,praise,neutral
hơn yêu yêu hơn,praise,neutral
chị ơi 3,neutral,neutral
like để trở top 1,neutral,neutral
2026 không mong tất bình an,neutral,neutral
miệng đức phúc dần giống ngày xưa,neutral,neutral
hnhu o bartender trg mv ông nam kênh quyên nam station nhể,neutral,neutral
bả hát cos đẹp nx,praise,neutral
nói lịch học bù cao hơn núi dài hơn sông rộng hơn đất xanh hơn trời chắc không nổi 1 like,neutral,neutral
anh đức phúc vừa đẹp trai hát,praise,neutral
321 ông nam đk v,neutral,neutral
dễ thương,praise,neutral
mình không rõ thanh nhạc bài bài đối mình bài phân bổ đoạn tệ nhất phúc mình đắt giá nhất bài hát đoạn tình yêu anh giai điệu đẹp thông điệp đẹp tới phần 2 lặp phần mở đầu tới 2 lần mình mệt chán tới tận cổ giai điệu ru ngủ phần đắt giá nhất chỉ lặp 2 lần thông suốt bài hát giai điệu đẹp bắt tai đối mình phần mình không muốn nghe lặp phần mình muốn nghe chỉ như điểm điểm mình bài hát sự thất bại hy vọng tương lai nghe hơn bài hát phúc,praise,neutral
bà hòa mặn,neutral,neutral
mv ý nghĩa,neutral,neutral
top 1 rồi huhu đức phúc giỏi 3,praise,neutral
bánh tét không ăn hết chia bánh chưng chiên ăn mớ trứng gà vỡ không đấy nhớ bỏ tủ lạnh kẻo ủng quần áo chớ vứt lung tung cuối tuần nhớ giặt mấy áo đứt khuy mẹ đơm rồi đấy nhanh tìm gái để nhờ người khâu cạo râu nhờ già hơn bố cậu rồi đường nhớ mặc áo khoác để bớt đen kiếm cơm nhớ đừng quên ăn cơm mệt xe honda vèo nhà mẹ nuôi,neutral,neutral
rơi nước mắt,neutral,neutral
công nhận video ý nghĩa,neutral,neutral
vietnam,neutral,neutral
tới mùa tăng view ròi đồng âm ơi loading2026,neutral,neutral
bài hát mv thực sự ý nghĩa càng thương trường giang nhã phương sau câu chuyện phút chót mới gửi clip mv chắc chắn thành công 3,praise,neutral
đê,neutral,neutral
chuẩn tết 2023 rồi ae ơi,neutral,neutral
hay,neutral,neutral
khoan nhà,neutral,neutral
không cặp sơn tùng thiều bảo trâm hihi,neutral,neutral
nghe nhớ nhà ghê,criticism,neutral
bao giờ mình mới kể câu chuyện chính mình nhỉ,neutral,neutral
giọng a te nghe,neutral,neutral
24 người quen,neutral,neutral
bài,neutral,neutral
im argentinaand dont understand fel voic amaz,neutral,neutral
giỏi chàng trai chị,praise,neutral
đường nhà tim dẫu nắng mưa gần xa thất bát vang danh nhà luôn chờ đường nhà tim dẫu muôn trùng vật đổi dời nhà luôn nhà lao đời kiếm cơm lao đời tìm cơ hội thành thị thường lấp lánh đêm thành thị thường trơ trọi như mọi đứa trẻ khác lớn muốn xa hoài nhà yên đợi đứa ngoài bước ngoài mới biết không bằng nhà biết để mất trước sẵn sàng mở quà không phải võ sĩ phải giỏi đấu đá kiệt sức chỉ gắng giữ mình không xấu xa đôi bỗng thấy đồng cảm mai an tiêm bước chân sóng gió chỉ nhà mãi an yên ngoài phức tạp như rễ má dây mơ nhà để phép mình ngây thơ mang bao nao nức xe trọn niềm thao thức suốt đêm ngày dòng người phố mang sắc mai hương đào tìm nơi ấm êm đường nhà tim dẫu nắng mưa gần xa thất bát vang danh nhà luôn chờ đường nhà tim dẫu muôn trùng vật đổi dời nhà luôn nhà ngôi nhà góc vườn chó gà đám nói khó chiều thích gió trời hơn gió hoà ăn cơm mẹ nấu mặc áo mẹ may đưa ba chợ mua cây đào cây mai bày năm trời rã rời như máy nhà thấy áp lực nhẹ như bấc thổi bay ấm êm hơn bếp lửa ngọt bùi hơn lúa non nhà luôn mong chờ đứa dẫu mưa nắng không bao giờ nề hà hạnh phúc chỉ đơn giản nhà hạnh phúc nhà cô đơn nhà thành công nhà thất bại nhà mệt nhà mông lung nhà chênh vênh nhà không nhà không nhà nhà nhà đường nhà tim dẫu nắng mưa gần xa thất bát vang danh nhà luôn chờ đường nhà tim dẫu muôn trùng vật đổi dời nhà luôn nhà nhà thể lớn thể nhỏ thể không khang trang cha mẹ muốn sống đàng hoàng lớn người mong tương lai xán lạn cặm cụi đời không bao giờ thấy than van đường nhà tim dẫu nắng mưa gần xa thất bát vang danh nhà luôn chờ đường nhà tim dẫu muôn trùng vật đổi dời nhà luôn nhà,praise,neutral
bài hát nhất mình nghe,neutral,neutral
giờ nghe bài không,neutral,neutral
tết rồi nhà thôi,neutral,neutral
1 năm trôi,neutral,neutral
thề bài hát anh đức phúc hếtđây 1 mv thật sự ý nghĩa mùa valentine luôn,neutral,neutral
xem thấy cảm động,neutral,neutral
hơn yêu thương,praise,neutral
ối dồi ôi hồ hoài anh không,neutral,neutral
ông nam bar kìa0,neutral,neutral
vu han love top1 trend,praise,neutral
kết hôn yêu nhau mak chỉ riêng phúc chưa,praise,neutral
chị hát,neutral,neutral
6 năm 1 bài hát viral,neutral,neutral
2 năm rồi chưa ăn tết gia đình nghe bài rưng rưng nước mắt,neutral,neutral
anh yêu em thế thôi,praise,neutral
bài xĩu,neutral,neutral
gọng kính erik không,neutral,neutral
nhà,neutral,neutral
ý nghĩa,neutral,neutral
lạ ha bài 1 triệu like chưa 1tr like bài are mọi người cày like bài 1tr like ik hợp,neutral,neutral
yê top1 are,neutral,neutral
i love lgbt very much chị hương giang les giờ gay,neutral,neutral
hết hôm ni mai nhà rồi,neutral,neutral
love song,praise,neutral
thêm 1 bài chấn đọng việt nam tiktok chị ơi,neutral,neutral
giờ cày view,neutral,neutral
nhớ nhà mong gd luôn mạnh khoẻ,neutral,neutral
hơn nửa tháng nằm tap trending,neutral,neutral
chil đấy anhgợi mong muốn nhànhà tất chúng,neutral,neutral
điển chắc chẳng bao giờ hơn yêu ng nhút nhát chẳng bao h dám mở lời ng mình yêu tương lai mù mịt chẳng ngoại hình không đẹp chẳng bao giờ lòng tin bản thân mình chắc nhìu như mình nhỉ,neutral,neutral
chạnh lòng xen lẫn tủi thân không bít mới hp như,neutral,neutral
quê hải dương,neutral,neutral
take back back home,neutral,neutral
3 chưa xa nhma nghe thấm,neutral,neutral
cày cày cày để top 1 mn ưi,neutral,neutral
xa quê hương nghe nhạc chỉ muốn gặp gia đình,neutral,neutral
đẹp trai đức phúc em hát bài hát ý nghĩa hãy like e top1 trend nhé cảm ơn e,praise,neutral
tết nghe bài đúng hợp t thích bài nỗi hát karaoke hàng xóm thuộc luôn,praise,neutral
bài đức phúc hát đám cưới duy mạnh quynh anh,neutral,neutral
nhớ nhà,neutral,neutral
duc phuc hat hay pua,neutral,neutral
453 bà hòa tít mắt,neutral,neutral
năm mới sắp nhà thoy,neutral,neutral
cứ yên tâm sau tết mv mới phúc,neutral,neutral
1 tr like rồi nhà ơi,neutral,neutral
gần tết rồi ae ạ,neutral,neutral
luôn,neutral,neutral
xem mv ý nghĩa muốn khóc luôn giờ tao mới vát mắt tao xem mv huheo mv mv yêu không,praise,neutral
khóc,neutral,neutral
không tải chị,neutral,neutral
năm 2026 nghe không,neutral,neutral
xem mv muốn khóc thật sự muốn 1 lần nữa gia đình đoàn tụ,neutral,neutral
sau bài ms hiểu tình yêu đích thực 3,praise,neutral
mong dịch bệnh mau để đón năm mới an lành,neutral,neutral
beat nhạc huhu,neutral,neutral
úi dợ3 tui cứ tưởng giọng bả fany á,neutral,neutral
song relax,neutral,neutral
bài hát quảng cáo không tiền nhạc,neutral,neutral
người coment thế,neutral,neutral
đức phúc chưa kề cạnh,neutral,neutral
quãng cáo win x anh đen,neutral,neutral
trốn nợ về nhà,neutral,neutral
idol đam mỹ tik tok kìa,neutral,neutral
sắp tới nữa rồi,neutral,neutral
sắp tết rồi ơi,neutral,neutral
xem xong clip nước mắt rưng rưng,neutral,neutral
bài,neutral,neutral
thích nhạc đen vâu,praise,neutral
nguyễn duyên ngọc,neutral,neutral
hơn yêu cảm thông thấu hiểu chia sẻ hi sinh lắng nghe đồng điệu tâm hồn,praise,neutral
chỉ thích nghe nhạc rap đen thôi ý nghĩa cuộc sống đời thường,praise,neutral
mấy đọc bức thư mv không,neutral,neutral
đen vâu chạy uber chào đồng nghiệp nhé,neutral,neutral
this is so wholesome nhạc mv tuyệt nữa bài hát mình tham lam muốn nghe thêm bản erik hát,neutral,neutral
hôm a hưng yên quay mv a gốc phần hà,neutral,neutral
sắp tết,neutral,neutral
giọng chú đen vâu ạ,neutral,neutral
trẻ hãy sum vầy gia đình hãy nhớ bố mẹ nhà nơi không nữa nhà chỉ nơi nhà thôi,neutral,neutral
nghe cảm giác ấm áp lạ kỳ 3,neutral,neutral
10n dislike số người cô đơn mới chia tay,neutral,neutral
hồ hoài anh mở mv xem liệu gỡ không xui đức phúc,neutral,neutral
sắp 10tr view are,neutral,neutral
ned anoth colab betwen anh den anh te new year 202,neutral,neutral
xem mv khóc luôn,neutral,neutral
anh ơi anh mấy bài ráp giống binz anh,neutral,neutral
team tik sang không,neutral,neutral
army không,neutral,neutral
thiếu nợ nhà yeah,criticism,neutral
mng tranh giành top 1 2 nghe bài mãi mặc dù top 3,neutral,neutral
tớ grab nhé đêm nữ không đưa cứ bok mình nha,neutral,neutral
biết để mất trước sẵn sàng mở quà thấm,neutral,neutral
ca sĩ hang hiệu luôn sản phẩm ca nghe thật êm tai chứ không như ca sĩ vô danh phí âm nhạc,neutral,neutral
xịn xò,neutral,neutral
