word,part_of_speech,meaning,example
ai bảo,,"(khẩu ngữ) tổ hợp dùng để giải thích và quy lỗi cho người nào đó về điều không hay đã xảy ra cho bản thân người ấy: bị mắng là phải, ai bảo không nghe lời!","bị mắng là phải, ai bảo không nghe lời!"
ai điếu,,bài văn viếng người chết để bày tỏ lòng thương tiếc: đọc ai điếu,đọc ai điếu
ái ân,danh từ,"(văn chương) tình yêu nam nữ thắm thiết: ""Bây giờ trâm gãy gương tan, Kể làm sao xiết muôn vàn ái ân!"" (TKiều)","""Bây giờ trâm gãy gương tan, Kể làm sao xiết muôn vàn ái ân!"" (TKiều)"
ái,cảm từ,tiếng thốt lên khi bị đau đột ngột: ái! đau quá,ái! đau quá
ai ai,đại từ,"mọi người, ai cũng như ai: ""Máu rơi thịt nát tan tành, Ai ai trông thấy hồn kinh phách rời!"" (TKiều)","""Máu rơi thịt nát tan tành, Ai ai trông thấy hồn kinh phách rời!"" (TKiều)"
ai,đại từ,"từ dùng nói về người nào đó, không rõ (thường dùng để hỏi): ai gõ cửa đấy? * xin lỗi, anh là ai? * linh cảm có ai đang nhìn mình","ai gõ cửa đấy? * xin lỗi, anh là ai? * linh cảm có ai đang nhìn mình"
ai,đại từ,"từ dùng chỉ người nào đó, bất kì: ai cũng được * tất cả, không trừ một ai * ""Đố ai quét sạch lá rừng, Để ta khuyên gió, gió đừng rung cây."" (ca dao)","ai cũng được * tất cả, không trừ một ai * ""Đố ai quét sạch lá rừng, Để ta khuyên gió, gió đừng rung cây."" (ca dao)"
ai,đại từ,"từ dùng nói về người nào đó, có khi là chính mình, mà không muốn nêu rõ ra: ai biết đâu đấy! * ""Cạn lòng chẳng biết nghĩ sâu, Để ai trăng tủi hoa sầu vì ai?"" (TKiều)","ai biết đâu đấy! * ""Cạn lòng chẳng biết nghĩ sâu, Để ai trăng tủi hoa sầu vì ai?"" (TKiều)"
ai đời,,"(khẩu ngữ) tổ hợp biểu thị ý nhấn mạnh về điều cho là trái với lẽ thường: ""Ai đời chuột lại dám đánh đu ở miệng mèo!"" (THoài; 31)","""Ai đời chuột lại dám đánh đu ở miệng mèo!"" (THoài; 31)"
ải,danh từ,nơi hiểm trở ở biên giới hoặc trên đường tiến vào một nước: ải Chi Lăng,ải Chi Lăng
ải,danh từ,bước thử thách hoặc trở ngại lớn cần phải vượt qua: phải qua biết bao nhiêu ải mới xin được chữ kí,phải qua biết bao nhiêu ải mới xin được chữ kí
ải,tính từ,"dễ gãy nát, không còn bền chắc do chịu tác động lâu ngày của mưa nắng: lạt đã ải",lạt đã ải
ải,tính từ,(đất trồng trọt sau khi đã cày cuốc và phơi nắng) khô và dễ tơi nát: đất đã ải trắng,đất đã ải trắng
ải,động từ,làm ải (nói tắt); phân biệt với dầm: chuyển ải sang dầm,chuyển ải sang dầm
ai mượn,,"(khẩu ngữ, hiếm) tổ hợp dùng để quy lỗi nhẹ nhàng cho người nào đó, trách người ấy đã làm việc lẽ ra không nên làm để xảy ra điều ít nhiều không hay: ai mượn mày xía vào chuyện của người ta?",ai mượn mày xía vào chuyện của người ta?
ai khảo mà xưng,,"tự nói ra điều (thường là bí mật, thầm kín) mà không ai tra hỏi: ""Nghĩ đà bưng kín miệng bình, Nào ai có khảo mà mình lại xưng?"" (TKiều)","""Nghĩ đà bưng kín miệng bình, Nào ai có khảo mà mình lại xưng?"" (TKiều)"
ai hoài,động từ,"(cũ, văn chương) buồn thương và nhớ da diết: ""Cớ sao chàng chẳng vãng lai, Để em thổn thức ai hoài trót đêm."" (ca dao)","""Cớ sao chàng chẳng vãng lai, Để em thổn thức ai hoài trót đêm."" (ca dao)"
ai ngờ,,"nào ai có ngờ, chẳng ngờ: tưởng nói vui, ai ngờ là sự thật * ""Ngỡ là phu quý, phụ vinh, Ai ngờ một phút tan tành thịt xương!"" (TKiều)","tưởng nói vui, ai ngờ là sự thật * ""Ngỡ là phu quý, phụ vinh, Ai ngờ một phút tan tành thịt xương!"" (TKiều)"
ai oán,tính từ,"(văn chương) bi thương và oán hận (thường nói về âm thanh, tiếng đàn, tiếng hát, v.v. của người có điều oan ức): tiếng đàn ai oán * lời ca ai oán",tiếng đàn ai oán * lời ca ai oán
ái mộ,động từ,(cũ) mến chuộng và kính trọng: diễn viên được nhiều người ái mộ,diễn viên được nhiều người ái mộ
ái ngại,động từ,"không yên lòng, vì lo ngại, thương cảm (trước tình cảnh của người khác): ái ngại cho hoàn cảnh của bạn",ái ngại cho hoàn cảnh của bạn
ai lại,,"(khẩu ngữ) tổ hợp biểu thị điều sắp nêu ra là hành vi, thái độ không bình thường đến mức vô lí: ai lại làm trò trẻ con như thế?",ai lại làm trò trẻ con như thế?
ai nấy,đại từ,"người nào cũng vậy, không trừ một ai: được mùa, ai nấy đều phấn khởi","được mùa, ai nấy đều phấn khởi"
ái nữ,danh từ,(trang trọng) từ dùng để gọi tôn con gái của người có địa vị cao: ái nữ của ngài tổng thống,ái nữ của ngài tổng thống
album,danh từ,"tập giấy cứng hoặc nylon được đóng thành quyển, để lưu giữ ảnh, tem, v.v.: tập album * album ảnh",tập album * album ảnh
album,danh từ,"tập hợp những tác phẩm (thường là bản nhạc, bài hát) xuất bản ở dạng đĩa hoặc băng từ: phát hành album nhạc mới",phát hành album nhạc mới
ái tình,danh từ,(văn chương) tình yêu nam nữ: chuyện ái tình * sức mạnh của ái tình,chuyện ái tình * sức mạnh của ái tình
ái quốc,động từ,(cũ) yêu nước: lòng ái quốc,lòng ái quốc
ái quần,động từ,"(cũ) yêu đồng loại, yêu đồng bào: tinh thần ái quốc ái quần",tinh thần ái quốc ái quần
ám ảnh,động từ,"(điều không hay) luôn luôn lởn vởn trong trí, làm phải băn khoăn hoặc lo lắng mà không sao xua đi được: câu hỏi cứ ám ảnh trong đầu * bị ám ảnh bởi những kí ức đau thương",câu hỏi cứ ám ảnh trong đầu * bị ám ảnh bởi những kí ức đau thương
ám hại,động từ,hại người một cách ám muội: bị kẻ xấu ám hại,bị kẻ xấu ám hại
am hiểu,động từ,hiểu biết rõ đến từng chi tiết: am hiểu thị trường * rất am hiểu về hội hoạ,am hiểu thị trường * rất am hiểu về hội hoạ
ảm đạm,tính từ,"(khung cảnh buổi chiều) thiếu ánh sáng mặt trời và toàn một màu xám, gợi sự buồn tẻ: trời đông ảm đạm",trời đông ảm đạm
ảm đạm,tính từ,"không sáng sủa, gợi cảm giác buồn: nét mặt ảm đạm * tiền đồ ảm đạm (b)",nét mặt ảm đạm * tiền đồ ảm đạm (b)
ám hiệu,danh từ,tín hiệu để ngầm liên lạc với nhau: nháy đèn pin làm ám hiệu * ra ám hiệu rút lui,nháy đèn pin làm ám hiệu * ra ám hiệu rút lui
ám hiệu,động từ,(hiếm) ngầm ra hiệu: ám hiệu cho nhau biết,ám hiệu cho nhau biết
ám,danh từ,"món ăn nấu nguyên cả con cá hoặc khúc cá to đã được rán vàng với gạo, nhiều nước và các thứ rau thơm: nấu món ám * cháo ám",nấu món ám * cháo ám
ám,động từ,"bám chặt vào làm cho bẩn, cho thành màu tối: trần nhà ám khói * quần áo ám đầy bụi đất",trần nhà ám khói * quần áo ám đầy bụi đất
ám,động từ,"(khẩu ngữ) quấy rầy bên cạnh, làm ảnh hưởng đến việc đang làm: vẩn vơ như bị ma ám * ngồi ám bên cạnh",vẩn vơ như bị ma ám * ngồi ám bên cạnh
ám chỉ,động từ,"(nói một điều xấu) ngầm chỉ người nào, việc gì: nói vu vơ, không ám chỉ ai","nói vu vơ, không ám chỉ ai"
ám muội,tính từ,"(việc làm) không rõ ràng, có điều gì đó không chính đáng, phải giấu kín: hành động ám muội * không làm điều gì ám muội",hành động ám muội * không làm điều gì ám muội
ám quẻ,động từ,"(ma quỷ) cản trở, quấy rầy việc gieo quẻ bói, theo mê tín.",đã không giúp lại còn đến ám quẻ
am tường,động từ,hiểu biết tường tận: am tường luật lệ * am tường về lịch sử,am tường luật lệ * am tường về lịch sử
ám thị,động từ,"(dùng lời nói, và/hoặc ánh mắt, cử chỉ) tác động đến tâm lí, làm cho thụ động nghĩ theo hoặc làm theo ý của mình: ám thị bằng thôi miên * tự kỉ ám thị",ám thị bằng thôi miên * tự kỉ ám thị
ám sát,động từ,"giết người (thường là nhân vật quan trọng) một cách bí mật, có mưu tính trước: âm mưu ám sát * bị ám sát hụt",âm mưu ám sát * bị ám sát hụt
amygdala,danh từ,"mô bạch huyết ở họng người, tròn và to bằng đầu ngón tay: sưng amygdala * cắt amygdala",sưng amygdala * cắt amygdala
án,danh từ,vụ phạm pháp hoặc tranh chấp quyền lợi cần được xét xử trước toà án: vụ án chưa xử * án giết người,vụ án chưa xử * án giết người
án,danh từ,(Khẩu ngữ) bản án (nói tắt): nhận án tử hình * làm đơn xin giảm án,nhận án tử hình * làm đơn xin giảm án
án,động từ,"chắn ngang, làm ngăn lại: núi án trước mặt * đứng án ở cửa",núi án trước mặt * đứng án ở cửa
án,động từ,đóng quân lại một chỗ: án quân nằm chờ chi viện,án quân nằm chờ chi viện
an bài,động từ,(tạo hoá) xếp đặt từ trước (theo quan niệm của thuyết định mệnh): số phận đã được an bài,số phận đã được an bài
an,tính từ,(Từ cũ) yên ổn: biến nguy thành an * lòng không được an,biến nguy thành an * lòng không được an
an cư,động từ,sinh sống yên ổn: có an cư thì mới lạc nghiệp,có an cư thì mới lạc nghiệp
án binh bất động,,"đóng quân ở yên, tạm thời không hành động, chờ thời cơ.",bọn buôn lậu án binh bất động chờ thời cơ
an dưỡng,động từ,nghỉ ngơi và ăn uống theo một chế độ nhất định để bồi dưỡng sức khoẻ: trại an dưỡng * đi an dưỡng,trại an dưỡng * đi an dưỡng
an hưởng,động từ,hưởng trong sự yên vui: an hưởng tuổi già,an hưởng tuổi già
an khang,tính từ,"bình yên và mạnh khoẻ: kính chúc gia đình an khang, thịnh vượng","kính chúc gia đình an khang, thịnh vượng"
án mạng,danh từ,vụ phạm tội làm chết người: đánh nhau để xảy ra án mạng,đánh nhau để xảy ra án mạng
an giấc ngàn thu,,"(cũ, vch, trang trọng) chết (ví như một giấc ngủ dài mãi mãi): ông cụ đã yên giấc nghìn thu",ông cụ đã yên giấc nghìn thu
án ngữ,động từ,"chắn lối qua lại, lối ra vào (một khu vực): dãy núi án ngữ trước mặt",dãy núi án ngữ trước mặt
an nghỉ,động từ,như yên nghỉ: đưa đến nơi an nghỉ cuối cùng,đưa đến nơi an nghỉ cuối cùng
an giấc nghìn thu,,"(cũ, vch, trang trọng) chết (ví như một giấc ngủ dài mãi mãi): ông cụ đã yên giấc nghìn thu",ông cụ đã yên giấc nghìn thu
an nhàn,tính từ,"thảnh thơi và được yên ổn, không phải vất vả, khó nhọc: cuộc sống an nhàn",cuộc sống an nhàn
an nhiên,tính từ,"yên ổn, bình thản như tự nhiên vốn thế: thái độ an nhiên tự tại",thái độ an nhiên tự tại
an ninh,danh từ,"tình hình trật tự xã hội bình thường, yên ổn, không có rối loạn: an ninh được đảm bảo * giữ gìn an ninh, trật tự","an ninh được đảm bảo * giữ gìn an ninh, trật tự"
an ninh,tính từ,"yên ổn về mặt trật tự xã hội, không có rối loạn: mất an ninh * lực lượng an ninh",mất an ninh * lực lượng an ninh
an phận,động từ,"yên với phận của mình và cảnh sống hiện tại, không phấn đấu để có được một sự thay đổi: sống an phận * không chịu an phận",sống an phận * không chịu an phận
an táng,động từ,"(trang trọng) xử lí thi thể người chết (bằng cách chôn cất, hoặc hoả táng, thiên táng, v.v.) theo nghi lễ: lễ an táng * an táng tại quê nhà",lễ an táng * an táng tại quê nhà
an thai,động từ,giữ cho thai phát triển bình thường: thuốc an thai,thuốc an thai
an sinh,tính từ,an toàn cuộc sống: vấn đề an sinh xã hội,vấn đề an sinh xã hội
an thân,động từ,"(cũ) nương thân: ""Những mừng được chốn an thân, Vội vàng nào kịp tính gần, tính xa."" (TKiều)","""Những mừng được chốn an thân, Vội vàng nào kịp tính gần, tính xa."" (TKiều)"
an thân,động từ,như yên thân: chỉ muốn được an thân,chỉ muốn được an thân
an thần,động từ,"làm êm dịu thần kinh (đang căng thẳng), thường để cho dễ ngủ: thuốc an thần",thuốc an thần
an toạ,động từ,"(trang trọng) (những người tham gia hội họp) ngồi vào chỗ, ổn định chỗ ngồi: sắp đến giờ khai mạc, xin mời các vị an toạ","sắp đến giờ khai mạc, xin mời các vị an toạ"
an toàn,tính từ,"yên ổn, loại trừ nguy hiểm, hoặc tránh được sự cố: cầu đã được sửa, đi lại rất an toàn * van an toàn","cầu đã được sửa, đi lại rất an toàn * van an toàn"
an toàn,danh từ,"điều kiện bảo đảm để không xảy ra sự cố hay nguy hiểm, nói chung: an toàn giao thông",an toàn giao thông
